Id,Symbol,ScientificName,ScientificNameComponents,CommonName,Group,RankId,Rank,Durations,GrowthHabits,NativeStatuses,MapCoordinates,PlantsDistributionResults,AcceptedId,OtherCommonNames,HasSynonyms,Ancestors,HasSubordinateTaxa,SubordinateTaxa,HasWildlife,Wildlife,HasWetlandData,WetlandData,HasImages,HasRelatedLinks,RelatedLinks,HasLegalStatuses,LegalStatuses,HasNoxiousStatuses,NoxiousStatuses,HasDocumentation,HasDistributionData,Documentation,PlantNotes,NumImages,ProfileImageFilename,ImageId,HasInvasiveStatuses,InvasiveStatuses,ProtectedStatuses,PlantGuideUrls,FactSheetUrls,HasCharacteristics,PlantLocationId,Characteristics,HasEthnobotany,Ethnobotanies,HasPollinator,Pollinators,ScientificSort,characteristics/0/Active Growth Period,characteristics/0/Bloat,characteristics/0/C:N Ratio,characteristics/0/Coppice Potential,characteristics/0/Fall Conspicuous,characteristics/0/Fire Resistant,characteristics/0/Flower Color,characteristics/0/Flower Conspicuous,characteristics/0/Foliage Color,characteristics/0/Foliage Porosity Summer,characteristics/0/Foliage Porosity Winter,characteristics/0/Foliage Texture,characteristics/0/Fruit/Seed Color,characteristics/0/Fruit/Seed Conspicuous,characteristics/0/Growth Form,characteristics/0/Growth Rate,"characteristics/0/Height at 20 Years, Maximum (feet)","characteristics/0/Height, Mature (feet)",characteristics/0/Known Allelopath,characteristics/0/Leaf Retention,characteristics/0/Lifespan,characteristics/0/Low Growing Grass,characteristics/0/Nitrogen Fixation,characteristics/0/Resprout Ability,characteristics/0/Shape and Orientation,characteristics/0/Toxicity,characteristics/0/Adapted to Coarse Textured Soils,characteristics/0/Adapted to Fine Textured Soils,characteristics/0/Adapted to Medium Textured Soils,characteristics/0/Anaerobic Tolerance,characteristics/0/CaCO3 Tolerance,characteristics/0/Cold Stratification Required,characteristics/0/Drought Tolerance,characteristics/0/Fertility Requirement,characteristics/0/Fire Tolerance,"characteristics/0/Frost Free Days, Minimum",characteristics/0/Hedge Tolerance,characteristics/0/Moisture Use,"characteristics/0/pH, Maximum","characteristics/0/pH, Minimum","characteristics/0/Planting Density per Acre, Maximum","characteristics/0/Planting Density per Acre, Minimum","characteristics/0/Precipitation, Maximum","characteristics/0/Precipitation, Minimum","characteristics/0/Root Depth, Minimum (inches)",characteristics/0/Salinity Tolerance,characteristics/0/Shade Tolerance,"characteristics/0/Temperature, Minimum (°F)",characteristics/0/Bloom Period,characteristics/0/Commercial Availability,characteristics/0/Fruit/Seed Abundance,characteristics/0/Fruit/Seed Period Begin,characteristics/0/Fruit/Seed Period End,characteristics/0/Fruit/Seed Persistence,characteristics/0/Propagated by Bare Root,characteristics/0/Propagated by Bulb,characteristics/0/Propagated by Container,characteristics/0/Propagated by Corm,characteristics/0/Propagated by Cuttings,characteristics/0/Propagated by Seed,characteristics/0/Propagated by Sod,characteristics/0/Propagated by Sprigs,characteristics/0/Propagated by Tubers,characteristics/0/Seed per Pound,characteristics/0/Seed Spread Rate,characteristics/0/Seedling Vigor,characteristics/0/Small Grain,characteristics/0/Vegetative Spread Rate,characteristics/0/Berry/Nut/Seed Product,characteristics/0/Christmas Tree Product,characteristics/0/Fodder Product,characteristics/0/Fuelwood Product,characteristics/0/Lumber Product,characteristics/0/Naval Store Product,characteristics/0/Nursery Stock Product,characteristics/0/Palatable Browse Animal,characteristics/0/Palatable Human,characteristics/0/Post Product,characteristics/0/Pulpwood Product,characteristics/0/Veneer Product,characteristics/0/Protein Potential,characteristics/0/Palatable Graze Animal,Synonyms/0/Id,Synonyms/0/Symbol,Synonyms/0/ScientificName,Synonyms/0/ScientificNameComponents,Synonyms/0/CommonName,Synonyms/0/Group,Synonyms/0/RankId,Synonyms/0/Rank,Synonyms/0/Durations,Synonyms/0/GrowthHabits,Synonyms/0/NativeStatuses,Synonyms/0/MapCoordinates,Synonyms/0/PlantsDistributionResults,Synonyms/0/AcceptedId,Synonyms/0/OtherCommonNames,Synonyms/0/HasSynonyms,Synonyms/0/Synonyms/0,Synonyms/0/Ancestors,Synonyms/0/HasSubordinateTaxa,Synonyms/0/SubordinateTaxa,Synonyms/0/HasWildlife,Synonyms/0/Wildlife,Synonyms/0/HasWetlandData,Synonyms/0/WetlandData,Synonyms/0/HasImages,Synonyms/0/HasRelatedLinks,Synonyms/0/RelatedLinks,Synonyms/0/HasLegalStatuses,Synonyms/0/LegalStatuses,Synonyms/0/HasNoxiousStatuses,Synonyms/0/NoxiousStatuses,Synonyms/0/HasDocumentation,Synonyms/0/HasDistributionData,Synonyms/0/Documentation,Synonyms/0/PlantNotes,Synonyms/0/NumImages,Synonyms/0/ProfileImageFilename,Synonyms/0/ImageId,Synonyms/0/HasInvasiveStatuses,Synonyms/0/InvasiveStatuses,Synonyms/0/ProtectedStatuses,Synonyms/0/PlantGuideUrls,Synonyms/0/FactSheetUrls,Synonyms/0/HasCharacteristics,Synonyms/0/PlantLocationId,Synonyms/0/Characteristics,Synonyms/0/HasEthnobotany,Synonyms/0/Ethnobotanies,Synonyms/0/HasPollinator,Synonyms/0/Pollinators,Synonyms/0/ScientificSort,characteristics/0/After Harvest Regrowth Rate
20681,BOBA3,&lt;i&gt;Bothriochloa barbinodis&lt;/i&gt; (Lag.) Herter,,cane bluestem,,0,,,,,,,20681,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,8,boba3_001_thp.jpg,0,false,,,,,false,0,,false,,false,,Bothriochloa barbinodis (Lag.) Herter,Summer and Fall,None,Medium,No,No,No,Yellow,No,Green,Dense,Porous,Medium,Brown,No,Bunch,Rapid,,4.0,No,No,Short,No,None,No,Erect,None,Yes,No,Yes,None,High,No,High,Medium,Medium,180,None,Medium,8.2,7.0,,,20,12,10,Low,Intolerant,2,Indeterminate,Routinely Available,Medium,Year Round,,No,No,No,No,No,No,Yes,No,No,No,754000,Rapid,Medium,No,Slow,No,No,Yes,,No,No,No,Low,No,No,No,No,Low,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate
20687,BOBL,&lt;i&gt;Bothriochloa bladhii&lt;/i&gt; (Retz.) S.T. Blake,,Caucasian bluestem,,0,,,,,,,20687,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,5,bobl_001_thp.jpg,0,false,,,,,false,0,,false,,false,,Bothriochloa bladhii (Retz.) S.T. Blake,Summer,Low,Medium,No,No,No,Yellow,No,Green,Dense,Porous,Fine,Brown,No,Bunch,Rapid,,3.0,No,No,Moderate,No,None,No,Semi-Erect,None,No,No,Yes,None,Medium,No,High,High,Low,150,None,Medium,8.0,5.0,,,50,20,18,Low,Intolerant,-23,Mid Summer,Routinely Available,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,860000,Rapid,High,No,Slow,No,No,Yes,,No,No,No,Low,No,No,No,No,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rapid
20707,BOISI,&lt;i&gt;Bothriochloa ischaemum&lt;/i&gt; (L.) Keng var. &lt;i&gt;ischaemum &lt;/i&gt;,,yellow bluestem,,0,,,,,,,20707,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,0,,0,false,,,,,false,0,,false,,false,,Bothriochloa ischaemum (L.) Keng var. ischaemum,Summer,None,High,No,No,No,Yellow,No,Green,Dense,Porous,Coarse,Brown,No,Bunch,Rapid,,2.0,No,No,Moderate,No,None,No,Semi-Erect,None,No,No,Yes,None,High,No,High,High,High,120,None,Medium,7.2,5.0,,,30,16,12,Low,Intolerant,-13,Late Spring,Routinely Available,High,Spring,Fall,No,No,No,No,No,No,Yes,No,No,No,882720,Moderate,High,No,Moderate,No,No,Yes,,No,No,No,High,No,No,No,No,Low,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate
20711,BOISS,&lt;i&gt;Bothriochloa ischaemum&lt;/i&gt; (L.) Keng var. &lt;i&gt;songarica&lt;/i&gt; (Rupr. ex Fisch. &amp; C.A. Mey.) Celarier &amp; Harlan,,yellow bluestem,,0,,,,,,,20711,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,0,,0,false,,,,,false,0,,false,,false,,Bothriochloa ischaemum (L.) Keng var. songarica (Rupr. ex Fisch. &amp; C.A. Mey.) Celarier &amp; Harlan,Summer,None,Medium,No,No,No,Yellow,No,Green,Dense,Porous,Medium,Brown,No,Bunch,Rapid,,4.0,No,No,Moderate,No,None,No,Semi-Erect,None,Yes,Yes,Yes,None,Medium,No,Medium,Medium,Medium,185,None,Medium,8.5,5.5,,,45,15,12,Low,Intolerant,-3,Early Summer,Routinely Available,Low,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,830000,Slow,Medium,No,None,No,No,Yes,,No,No,No,Low,No,No,No,No,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rapid
20722,BOPE2,&lt;i&gt;Bothriochloa pertusa&lt;/i&gt; (L.) A. Camus,,pitted beardgrass,,0,,,,,,,20722,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,1,bope2_001_thp.jpg,0,false,,,,,false,0,,false,,false,,Bothriochloa pertusa (L.) A. Camus,Spring and Summer,None,Medium,No,Yes,Yes,Yellow,No,Green,Dense,Moderate,Medium,Brown,No,Stoloniferous,Rapid,,3.0,No,Yes,Moderate,Yes,None,No,Decumbent,None,Yes,Yes,Yes,Medium,Medium,No,High,Low,High,365,Low,Low,7.5,5.0,4800,2700,80,20,12,Medium,Intolerant,17,Indeterminate,Routinely Available,Medium,Year Round,Year Round,No,No,No,No,No,No,Yes,No,Yes,No,400000,Moderate,Medium,No,Moderate,No,No,Yes,,No,No,No,High,No,No,No,No,Low,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rapid
20725,BOSA,&lt;i&gt;Bothriochloa saccharoides&lt;/i&gt; (Sw.) Rydb.,,silver bluestem,,0,,,,,,,20725,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,3,bosa_001_thp.jpg,0,false,,,,,false,0,,false,,false,,Bothriochloa saccharoides (Sw.) Rydb.,Summer,None,,No,Yes,Yes,,No,Green,Porous,Porous,Fine,Brown,No,Bunch,Moderate,,2.0,No,No,Short,Yes,None,No,Semi-Erect,None,Yes,No,Yes,None,Medium,No,High,Low,High,140,None,Medium,7.2,6.5,,,48,10,12,Low,Intolerant,-23,Summer,Contracting Only,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,80000,Moderate,Medium,No,Moderate,No,No,Yes,,No,No,No,Low,No,No,No,No,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate
12867,BOLA,&lt;i&gt;Botrychium lanceolatum&lt;/i&gt; (S.G. Gmel.) Angstr.,,lanceleaf grapefern,,0,,,,,,,12867,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,6,bola_002_tvp.jpg,0,false,,,,,false,0,,false,,false,,Botrychium lanceolatum (S.G. Gmel.) Angstr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12874,BOLU,&lt;i&gt;Botrychium lunaria&lt;/i&gt; (L.) Sw.,,common moonwort,,0,,,,,,,12874,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,6,bolu_002_tvp.jpg,0,false,,,,,false,0,,false,,false,,Botrychium lunaria (L.) Sw.,Spring,None,Medium,No,No,No,,No,Green,Porous,Porous,Fine,,No,Rhizomatous,Slow,,1.0,No,No,Moderate,No,None,No,Erect,None,Yes,No,Yes,Low,Medium,No,Low,Medium,High,85,None,Medium,7.2,5.8,4800,1700,55,14,10,None,Intermediate,-33,,No Known Source,,,,No,Yes,No,No,No,No,No,No,Yes,No,,None,,No,Slow,No,No,No,,No,No,No,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slow
12926,BOVI,&lt;i&gt;Botrychium virginianum&lt;/i&gt; (L.) Sw.,,rattlesnake fern,,0,,,,,,,12926,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,9,bovi_002_thp.jpg,0,false,,,,,false,0,,false,,false,,Botrychium virginianum (L.) Sw.,Spring and Summer,None,Medium,No,No,No,,No,Green,Porous,Porous,Fine,,No,Rhizomatous,Moderate,,1.4,No,No,Moderate,No,None,No,Erect,None,No,No,Yes,None,Low,No,Low,High,High,85,None,Medium,6.9,5.6,4800,1700,55,14,10,None,Tolerant,-38,Late Spring,No Known Source,,Summer,Summer,No,Yes,No,No,No,No,No,No,Yes,No,,None,,No,Slow,No,No,No,,No,No,No,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20746,BOBR,&lt;i&gt;Bouteloua breviseta&lt;/i&gt; Vasey,,gypsum grama,,0,,,,,,,20746,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,1,bobr_001_tvd.jpg,0,false,,,,,false,0,,false,,false,,Bouteloua breviseta Vasey,Summer and Fall,None,Medium,No,No,No,White,No,Green,Porous,Porous,Medium,Brown,No,Rhizomatous,Moderate,,2.5,No,No,Moderate,No,None,No,Erect,None,No,No,Yes,None,Low,No,High,Low,High,160,None,Low,7.9,5.5,,,40,12,12,None,Intolerant,-3,Mid Summer,No Known Source,High,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,400000,Slow,Medium,No,Slow,No,No,Yes,,No,No,No,High,No,No,No,No,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate
20750,BOCU,&lt;i&gt;Bouteloua curtipendula&lt;/i&gt; (Michx.) Torr.,,sideoats grama,,0,,,,,,,20750,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,10,bocu_002_tvp.jpg,0,false,,,,,false,0,,false,,false,,Bouteloua curtipendula (Michx.) Torr.,Summer,None,Medium,No,No,No,Yellow,No,Green,Dense,Porous,Medium,Brown,No,Rhizomatous,Moderate,,3.0,No,No,Moderate,Yes,None,No,Erect,None,Yes,Yes,Yes,None,High,No,Medium,Medium,High,110,None,Medium,7.8,5.3,,,20,6,12,Low,Intolerant,-13,Mid Spring,Routinely Available,High,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,159200,Slow,High,No,Moderate,No,No,Yes,,No,No,No,Medium,No,No,No,No,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate
20755,BODA2,&lt;i&gt;Bouteloua dactyloides&lt;/i&gt; (Nutt.) J.T. Columbus,,buffalograss,,0,,,,,,,20755,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,5,boda2_001_tvp.jpg,0,false,,,,,false,0,,false,,false,,Bouteloua dactyloides (Nutt.) J.T. Columbus,Summer,None,Medium,No,No,No,Yellow,No,Gray-Green,Porous,Porous,Fine,Brown,No,Stoloniferous,Moderate,,0.3,No,No,Long,Yes,None,No,Decumbent,None,No,Yes,Yes,High,High,No,High,Medium,High,120,None,Low,8.0,6.5,27000,11000,24,7,12,Medium,Intolerant,-13,Early Summer,Routinely Available,High,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,335360,Slow,High,No,Rapid,No,No,No,,No,No,No,Medium,No,No,No,No,High,High,20756,BUDA,&lt;i&gt;Buchloe dactyloides&lt;/i&gt; (Nutt.) Engelm.,,,,0,,,,,,,20755,,false,,,false,,false,,false,,false,false,,false,,false,,false,false,,,0,,0,false,,,,,false,0,,false,,false,,,Moderate
20763,BOER4,&lt;i&gt;Bouteloua eriopoda&lt;/i&gt; (Torr.) Torr.,,black grama,,0,,,,,,,20763,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,5,boer4_002_thp.jpg,0,false,,,,,false,0,,false,,false,,Bouteloua eriopoda (Torr.) Torr.,Spring and Fall,None,Medium,No,No,No,Yellow,No,Green,Moderate,Porous,Fine,Brown,No,Stoloniferous,Moderate,,2.0,No,No,Moderate,No,None,No,Decumbent,None,Yes,No,Yes,None,Medium,No,High,Medium,High,155,None,Low,8.3,7.0,,,18,7,12,Low,Intolerant,-23,Mid Spring,Routinely Available,High,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,1335000,Slow,High,No,Moderate,No,No,Yes,,No,No,No,High,No,No,No,No,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate
20765,BOGR2,&lt;i&gt;Bouteloua gracilis&lt;/i&gt; (Willd. ex Kunth) Lag. ex Griffiths,,blue grama,,0,,,,,,,20765,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,7,bogr2_002_tvp.jpg,0,false,,,,,false,0,,false,,false,,Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths,Summer,None,Medium,No,No,No,Yellow,No,Gray-Green,Moderate,Porous,Fine,Brown,No,Bunch,Moderate,,0.5,No,No,Moderate,No,None,No,Decumbent,None,No,Yes,Yes,None,High,No,High,Low,High,130,None,Low,7.2,6.0,,,22,7,14,Medium,Intolerant,-13,Early Spring,Routinely Available,High,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,724400,Slow,High,No,Moderate,No,No,Yes,,No,No,No,High,No,No,No,No,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate
20770,BOHI2,&lt;i&gt;Bouteloua hirsuta&lt;/i&gt; Lag.,,hairy grama,,0,,,,,,,20770,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,5,bohi2_003_thp.jpg,0,false,,,,,false,0,,false,,false,,Bouteloua hirsuta Lag.,Summer,None,Medium,No,No,Yes,,No,Green,Porous,Porous,Fine,Brown,No,Colonizing,Moderate,,0.5,No,No,Long,Yes,None,No,Decumbent,None,Yes,No,Yes,None,Medium,No,High,Low,High,90,None,Low,7.2,6.0,,,30,7,16,Low,Intolerant,-38,Spring,Field Collections Only,Medium,Spring,Fall,No,No,No,No,No,No,Yes,No,No,No,800000,Slow,Low,No,Slow,No,No,Yes,,No,No,No,Low,No,No,No,No,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate
62245,BRJU,&lt;i&gt;Brassica juncea&lt;/i&gt; (L.) Czern.,,brown mustard,,0,,,,,,,62245,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,4,brju_002_thp.jpg,0,false,,,,,false,0,,false,,false,,Brassica juncea (L.) Czern.,"Fall, Winter and Spring",None,Low,No,Yes,No,Yellow,Yes,Dark Green,Dense,Porous,Coarse,Black,No,Single Crown,Rapid,,4.0,No,No,Short,No,None,No,Erect,None,No,Yes,Yes,None,None,No,Low,Medium,None,130,None,Medium,7.2,6.0,,,80,30,6,None,Intolerant,17,Early Spring,Contracting Only,High,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,283040,Moderate,High,No,None,No,No,Yes,,No,No,No,Medium,Yes,No,No,No,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slow
62253,BRNA,&lt;i&gt;Brassica napus&lt;/i&gt; L.,,rape,,0,,,,,,,62253,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,0,,0,false,,,,,false,0,,false,,false,,Brassica napus L.,"Fall, Winter and Spring",None,Low,No,Yes,No,Yellow,Yes,Dark Green,Dense,Dense,Coarse,Black,No,Single Crown,Rapid,,4.0,No,No,,No,None,No,Erect,None,No,Yes,Yes,None,None,No,Low,Medium,None,130,None,Medium,7.2,6.0,,,80,40,6,None,Intolerant,17,Early Spring,Contracting Only,High,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,156960,Moderate,High,No,None,No,No,Yes,,No,No,No,Medium,Yes,No,No,No,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slow
62277,BRRA,&lt;i&gt;Brassica rapa&lt;/i&gt; L.,,field mustard,,0,,,,,,,62277,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,2,brra_001_thp.jpg,0,false,,,,,false,0,,false,,false,,Brassica rapa L.,"Spring, Summer, Fall",None,Medium,No,No,No,,No,Green,Dense,Porous,Coarse,Brown,No,Single Crown,Rapid,,3.0,No,No,,No,None,No,Erect,None,Yes,Yes,Yes,None,High,No,Low,High,Low,125,None,High,8.0,5.0,,,55,35,12,Medium,Intermediate,-13,Late Spring,Routinely Available,High,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,192800,Moderate,High,No,None,No,No,Yes,,No,No,No,High,Yes,No,No,No,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate
20841,BRMA,&lt;i&gt;Briza maxima&lt;/i&gt; L.,,big quakinggrass,,0,,,,,,,20841,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,8,brma_002_tvp.jpg,0,false,,,,,false,0,,false,,false,,Briza maxima L.,"Fall, Winter and Spring",None,Medium,No,Yes,Yes,,No,Green,Porous,Porous,Fine,Brown,Yes,Multiple Stem,Rapid,,2.0,No,No,,No,None,No,Erect,None,No,Yes,Yes,None,Medium,No,Medium,Low,Medium,90,None,Medium,7.0,5.8,,,40,12,10,Low,Intolerant,47,Spring,No Known Source,Medium,Spring,Spring,Yes,No,No,No,No,No,Yes,No,No,No,80000,Moderate,High,No,None,No,No,Yes,,No,No,No,Low,No,No,No,No,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30889,BRPI4,&lt;i&gt;Bromelia pinguin&lt;/i&gt; L.,,pinguin,,0,,,,,,,30889,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,5,brpi4_001_thp.jpg,0,false,,,,,false,0,,false,,false,,Bromelia pinguin L.,Summer,None,Medium,No,Yes,No,Red,Yes,Green,Moderate,Porous,Coarse,Yellow,Yes,Rhizomatous,Moderate,,4.0,No,No,Short,No,None,No,Erect,Slight,Yes,Yes,Yes,None,Medium,No,Medium,Medium,None,360,None,Low,6.5,4.5,2560,640,79,33,12,Low,Tolerant,28,Summer,Routinely Available,High,Summer,Fall,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,,Medium,No,Rapid,No,No,No,,No,No,Yes,Medium,Yes,No,No,No,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20860,BRAN,&lt;i&gt;Bromus anomalus&lt;/i&gt; Rupr. ex Fourn.,,nodding brome,,0,,,,,,,20860,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,3,bran_002_thp.jpg,0,false,,,,,false,0,,false,,false,,Bromus anomalus Rupr. ex Fourn.,Spring and Summer,None,Medium,No,No,No,Yellow,No,Green,Moderate,Porous,Coarse,Brown,No,Bunch,Moderate,,2.0,No,No,Short,No,None,No,Erect,None,Yes,No,Yes,None,Medium,No,High,Low,Medium,100,None,Low,7.9,5.4,,,20,2,8,Low,Tolerant,-33,Late Spring,Contracting Only,Medium,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,119333,Moderate,High,No,None,No,No,Yes,,No,No,No,Medium,No,No,No,No,Low,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slow
20864,BRAR5,&lt;i&gt;Bromus arvensis&lt;/i&gt; L.,,field brome,,0,,,,,,,20864,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,9,brar5_003_thp.jpg,0,false,,,,,false,0,,false,,false,,Bromus arvensis L.,"Fall, Winter and Spring",None,Low,No,No,No,Yellow,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Rapid,,3.0,No,No,,No,None,No,Erect,None,No,Yes,Yes,None,Low,No,Low,Medium,None,120,None,Medium,7.5,5.2,,,55,26,12,None,Intolerant,-23,Mid Spring,No Known Source,High,,,No,No,No,No,No,No,Yes,No,No,No,280000,Rapid,High,No,None,No,No,No,,No,No,No,Medium,No,No,No,No,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20877,BRBI2,&lt;i&gt;Bromus biebersteinii&lt;/i&gt; Roem. &amp; Schult. [excluded],,meadow brome,,0,,,,,,,20877,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,0,,0,false,,,,,false,0,,false,,false,,Bromus biebersteinii Roem. &amp; Schult. [excluded],"Spring, Summer, Fall",None,Medium,No,No,No,Yellow,No,Green,Dense,Porous,Medium,Brown,No,Bunch,Rapid,,4.0,No,No,Moderate,Yes,None,No,Erect,None,Yes,Yes,Yes,Low,Low,No,Medium,High,High,90,None,Medium,8.4,5.6,,,30,14,14,Low,Intolerant,-38,Late Spring,Routinely Available,High,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,86875,Moderate,High,No,Slow,No,No,No,,No,No,No,Medium,No,No,No,No,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate
20885,BRBR5,&lt;i&gt;Bromus briziformis&lt;/i&gt; Fisch. &amp; C.A. Mey.,,rattlesnake brome,,0,,,,,,,20885,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,3,brbr5_001_thp.jpg,0,false,,,,,false,0,,false,,false,,Bromus briziformis Fisch. &amp; C.A. Mey.,Spring and Summer,None,Medium,No,Yes,No,Yellow,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Rapid,,1.6,No,No,,No,None,No,Erect,None,Yes,No,Yes,None,Medium,No,Medium,Medium,Low,85,None,Low,7.2,5.3,,,45,12,8,None,Intolerant,47,Late Spring,No Known Source,Medium,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,145000,Slow,High,No,None,No,No,No,,No,No,No,Low,No,No,No,No,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slow
20888,BRCA5,&lt;i&gt;Bromus carinatus&lt;/i&gt; Hook. &amp; Arn.,,California brome,,0,,,,,,,20888,,false,,false,,false,,false,,false,false,,false,,false,,false,false,,,5,brca5_002_tvp.jpg,0,false,,,,,false,0,,false,,false,,Bromus carinatus Hook. &amp; Arn.,"Fall, Winter and Spring",Low,High,No,No,No,Yellow,No,Green,Dense,Porous,Coarse,Brown,No,Bunch,Rapid,,2.5,No,No,Short,No,None,No,Erect,None,Yes,No,Yes,None,Low,No,Low,Low,Low,140,None,Low,8.0,5.5,,,20,14,8,Medium,Intolerant,17,Early Spring,Routinely Available,High,Spring,Spring,No,No,No,No,No,No,Yes,No,No,No,106680,Moderate,High,No,None,No,No,Yes,,No,No,No,High,No,No,No,No,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate
